Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018
Burundi,5200 ,4100 , 6400,4400 ,3400 , 5500,3800 ,2900 , 4900,3400 ,2600 , 4400,3300 ,2500 , 4300,3000 ,2300 , 3900,2500 ,1900 , 3300,2200 ,1700 , 2800,1900 ,1400 , 2500,-64
Cabo Verde,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-38
Cambodia,2500 ,1900 , 3400,1900 ,1400 , 2700,1700 ,1200 , 2500,1600 ,1100 , 2400,1600 ,1100 , 2400,1500 ,1100 , 2400,1500 ,1000 , 2300,1400 ,<1000 , 2100,1300 ,<1000 , 1900,-48
Cameroon,22 000 ,19 000 , 25 000,22 000 ,19 000 , 25 000,22 000 ,19 000 , 25 000,23 000 ,20 000 , 26 000,25 000 ,22 000 , 28 000,26 000 ,23 000 , 29 000,24 000 ,21 000 , 27 000,21 000 ,19 000 , 25 000,18 000 ,15 000 , 21 000,-19
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Central African Republic,7800 ,6400 , 9400,7800 ,6200 , 9300,8100 ,6500 , 9600,8000 ,6400 , 9400,7700 ,6300 , 9200,6300 ,5100 , 7700,5500 ,4300 , 6900,4800 ,3700 , 6300,4800 ,3700 , 6400,-38
Chad,3500 ,2600 , 4800,3300 ,2400 , 4500,3200 ,2200 , 4500,3200 ,2200 , 4500,3200 ,2200 , 4500,3200 ,2200 , 4500,3100 ,2100 , 4300,3000 ,2000 , 4200,3100 ,2000 , 4500,-12
Chile,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,<1000 ,<500 , <1000,41
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Congo,3900 ,3100 , 4800,3800 ,3000 , 4700,3600 ,2700 , 4500,4000 ,3000 , 5000,4200 ,3200 , 5400,4500 ,3400 , 5700,3900 ,2900 , 5100,3900 ,2800 , 5200,4000 ,2800 , 5400,
Costa Rica,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,-4
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-11
Cuba,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,53
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Czechia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,83
Côte d'Ivoire,24 000 ,17 000 , 34 000,21 000 ,15 000 , 30 000,20 000 ,14 000 , 29 000,21 000 ,15 000 , 30 000,22 000 ,16 000 , 32 000,22 000 ,16 000 , 32 000,21 000 ,15 000 , 30 000,19 000 ,13 000 , 27 000,16 000 ,11 000 , 23 000,-34
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Democratic Republic of the Congo,34 000 ,27 000 , 40 000,32 000 ,26 000 , 38 000,31 000 ,25 000 , 37 000,28 000 ,22 000 , 33 000,26 000 ,20 000 , 31 000,23 000 ,18 000 , 29 000,20 000 ,15 000 , 25 000,17 000 ,13 000 , 22 000,13 000 ,10 000 , 17 000,-60
Denmark,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-35
Djibouti,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-34
Dominica,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Dominican Republic,3000 ,2100 , 4300,2800 ,2000 , 3900,2700 ,1900 , 3700,2500 ,1800 , 3500,2400 ,1700 , 3400,2100 ,1500 , 3000,1700 ,1200 , 2500,1400 ,<1000 , 2100,1200 ,<1000 , 1900,-60
Ecuador,1100 ,<1000 , 2200,1000 ,<500 , 2100,<1000 ,<500 , 2000,1100 ,<500 , 2300,1300 ,<1000 , 2700,1100 ,<1000 , 2400,<1000 ,<500 , 2000,<1000 ,<500 , 1600,<1000 ,<500 , 1500,-44
Egypt,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,107
El Salvador,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,41
Equatorial Guinea,1400 ,<1000 , 1900,1600 ,1100 , 2100,1800 ,1300 , 2300,1800 ,1300 , 2400,1500 ,1100 , 2100,1600 ,1100 , 2300,1900 ,1300 , 2600,2000 ,1400 , 2700,1800 ,1200 , 2600,31
Eritrea,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-21
Estonia,<200 ,<200 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,-50
Eswatini,3800 ,3400 , 4200,3300 ,2900 , 3700,2800 ,2500 , 3200,2700 ,2400 , 3100,2700 ,2400 , 3100,2600 ,2300 , 3000,2600 ,2300 , 3100,2600 ,2200 , 3000,2400 ,2000 , 2900,-35
Ethiopia,20 000 ,12 000 , 35 000,17 000 ,11 000 , 30 000,15 000 ,9300 , 27 000,14 000 ,8400 , 24 000,13 000 ,8100 , 23 000,13 000 ,7800 , 22 000,12 000 ,7400 , 21 000,12 000 ,7100 , 20 000,11 000 ,6800 , 19 000,-45
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Finland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-14
France,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-34
Gabon,1600 ,1100 , 2100,1700 ,1200 , 2200,1600 ,1200 , 2200,1400 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1600,1200 ,<1000 , 1700,-28
Gambia,<1000 ,<1000 , 1400,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,2
Georgia,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,297
Germany,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-12
Ghana,17 000 ,14 000 , 19 000,15 000 ,13 000 , 18 000,13 000 ,11 000 , 16 000,13 000 ,10 000 , 16 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 18 000,-14
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Grenada,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Guatemala,1700 ,1500 , 1900,1800 ,1600 , 2100,1900 ,1700 , 2200,1900 ,1700 , 2200,2000 ,1800 , 2200,2200 ,2000 , 2400,2400 ,2200 , 2600,2300 ,2100 , 2400,2200 ,2000 , 2400,30
Guinea,4100 ,3300 , 5000,3800 ,3000 , 4700,3700 ,3000 , 4600,3500 ,2700 , 4400,3800 ,2900 , 4700,4100 ,3200 , 5200,4300 ,3400 , 5400,4400 ,3500 , 5500,4300 ,3300 , 5400,4
Guinea-Bissau,1900 ,1500 , 2200,1900 ,1500 , 2300,1800 ,1500 , 2200,1700 ,1400 , 2000,1800 ,1400 , 2100,1900 ,1500 , 2200,1900 ,1500 , 2200,1700 ,1400 , 2000,1800 ,1400 , 2100,-6
Guyana,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,36
Haiti,4900 ,3800 , 6600,5100 ,3900 , 6900,5000 ,3800 , 6600,4600 ,3600 , 6100,4000 ,3200 , 5300,3700 ,3000 , 5000,3600 ,2900 , 4800,3100 ,2600 , 4200,2700 ,2200 , 3600,-45
