Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018
Burundi,3700 ,2700 , 4900,3500 ,2600 , 4700,3200 ,2400 , 4400,3000 ,2200 , 4100,2800 ,2000 , 3800,2400 ,1700 , 3400,2000 ,1400 , 3100,1800 ,1200 , 2900,1700 ,1000 , 2800,-55
Cabo Verde,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,-18
Cambodia,2300 ,2100 , 2600,1900 ,1700 , 2200,1800 ,1600 , 2000,1600 ,1400 , 1800,1400 ,1300 , 1600,1300 ,1200 , 1500,1200 ,1100 , 1400,1000 ,<1000 , 1200,<1000 ,<1000 , <1000,-62
Cameroon,36 000 ,32 000 , 39 000,35 000 ,32 000 , 38 000,33 000 ,29 000 , 37 000,31 000 ,27 000 , 34 000,30 000 ,26 000 , 34 000,28 000 ,24 000 , 32 000,27 000 ,23 000 , 31 000,25 000 ,21 000 , 29 000,23 000 ,19 000 , 28 000,-34
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Central African Republic,9100 ,7500 , 12 000,8700 ,7100 , 11 000,8300 ,6600 , 11 000,8000 ,6200 , 10 000,7400 ,5600 , 9900,6700 ,4900 , 9400,6000 ,4200 , 8700,5800 ,3900 , 8700,5500 ,3500 , 8100,-40
Chad,7400 ,5600 , 9400,7200 ,5400 , 9300,7200 ,5300 , 9400,7000 ,4900 , 9300,6600 ,4300 , 9000,6600 ,4400 , 9300,6300 ,3900 , 9100,6500 ,4100 , 9400,6500 ,4000 , 9600,-11
Chile,3700 ,3100 , 4100,3900 ,3300 , 4300,4200 ,3500 , 4600,4300 ,3500 , 4700,4400 ,3600 , 4800,4600 ,3700 , 5000,4800 ,3900 , 5300,4900 ,4000 , 5400,5000 ,4000 , 5500,34
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Colombia,8800 ,6400 , 11 000,8800 ,6300 , 11 000,8500 ,6100 , 11 000,8400 ,6000 , 11 000,8200 ,5800 , 11 000,7900 ,5600 , 10 000,7600 ,5200 , 10 000,7300 ,5000 , 9800,6900 ,4700 , 9100,-22
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-67
Congo,5800 ,4200 , 7600,5700 ,4000 , 7700,5700 ,3900 , 7800,5600 ,3600 , 8000,5600 ,3500 , 8200,5600 ,3500 , 8700,5500 ,3300 , 9000,5400 ,3100 , 9500,5300 ,3000 , 9700,-9
Costa Rica,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,1000 ,<1000 , 1200,21
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,10
Cuba,2200 ,1700 , 2700,2300 ,1800 , 2800,2300 ,1800 , 2900,2300 ,1800 , 2900,2300 ,1700 , 2800,2200 ,1700 , 2700,2100 ,1600 , 2500,1900 ,1400 , 2300,1700 ,1300 , 2100,-23
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Czechia,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,128
Côte d'Ivoire,25 000 ,14 000 , 47 000,25 000 ,13 000 , 47 000,24 000 ,13 000 , 45 000,23 000 ,12 000 , 43 000,22 000 ,12 000 , 42 000,21 000 ,11 000 , 40 000,19 000 ,10 000 , 36 000,18 000 ,9700 , 34 000,17 000 ,9100 , 32 000,-33
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Democratic Republic of the Congo,31 000 ,24 000 , 37 000,29 000 ,22 000 , 36 000,28 000 ,21 000 , 34 000,26 000 ,19 000 , 32 000,24 000 ,18 000 , 31 000,22 000 ,16 000 , 29 000,21 000 ,15 000 , 28 000,20 000 ,14 000 , 27 000,19 000 ,13 000 , 26 000,-39
Denmark,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,-24
Djibouti,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,24
Dominica,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Dominican Republic,3200 ,2200 , 4400,3000 ,2000 , 4200,3000 ,2000 , 4200,2900 ,1900 , 4200,2900 ,1800 , 4300,2900 ,1700 , 4600,2800 ,1600 , 5200,2800 ,1500 , 5800,2700 ,1200 , 6500,-14
Ecuador,2500 ,1400 , 4600,2500 ,1400 , 4600,2400 ,1400 , 4600,2400 ,1300 , 4600,2500 ,1300 , 4600,2400 ,1300 , 4500,2400 ,1300 , 4500,2300 ,1200 , 4500,2200 ,1200 , 4400,-12
Egypt,1200 ,1100 , 1300,1400 ,1300 , 1500,1600 ,1500 , 1700,1800 ,1700 , 2000,2100 ,1900 , 2300,2400 ,2200 , 2600,2700 ,2500 , 3000,3100 ,2900 , 3400,3600 ,3300 , 3900,196
El Salvador,1400 ,1000 , 1700,1200 ,<1000 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,-48
Equatorial Guinea,3900 ,3100 , 5000,4200 ,3300 , 5400,4500 ,3400 , 5700,4500 ,3300 , 6000,4500 ,3100 , 6300,4700 ,3300 , 6800,4900 ,3200 , 7100,5100 ,3200 , 7600,5100 ,3100 , 8000,30
Eritrea,<1000 ,<1000 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,-29
Estonia,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,-10
Eswatini,11 000 ,11 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,9800 ,9000 , 11 000,9000 ,8200 , 10 000,8400 ,7500 , 9500,7800 ,6900 , 8900,-31
