Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,22 000 ,16 000 , 30 000,22 000 ,16 000 , 29 000,20 000 ,15 000 , 27 000,19 000 ,14 000 , 25 000,18 000 ,14 000 , 24 000,18 000 ,14 000 , 24 000,17 000 ,13 000 , 22 000,16 000 ,13 000 , 21 000,15 000 ,12 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,12 000 , 17 000,13 000 ,11 000 , 16 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,12 000 ,9900 , 14 000,12 000 ,9600 , 14 000,11 000 ,9200 , 13 000,10 000 ,8600 , 13 000,10 000 ,8400 , 12 000,9600 ,7900 , 12 000,9100 ,7500 , 12 000,8700 ,7100 , 11 000,8300 ,6600 , 11 000,8000 ,6200 , 10 000,7400 ,5600 , 9900,6700 ,4900 , 9400,6000 ,4200 , 8700,5800 ,3900 , 8700,5500 ,3500 , 8100
Chad,7600 ,4700 , 12 000,8600 ,5500 , 13 000,9200 ,6100 , 13 000,9600 ,6700 , 13 000,9300 ,6600 , 13 000,9500 ,7000 , 13 000,9700 ,7200 , 13 000,9500 ,7100 , 12 000,9300 ,7100 , 12 000,9100 ,7100 , 12 000,9000 ,7100 , 11 000,8800 ,7000 , 11 000,8700 ,6900 , 11 000,8700 ,7000 , 11 000,8600 ,6900 , 10 000,8500 ,6800 , 10 000,8200 ,6600 , 10 000,8100 ,6500 , 10 000,8000 ,6300 , 9900,7400 ,5800 , 9300,7400 ,5600 , 9400,7200 ,5400 , 9300,7200 ,5300 , 9400,7000 ,4900 , 9300,6600 ,4300 , 9000,6600 ,4400 , 9300,6300 ,3900 , 9100,6500 ,4100 , 9400,6500 ,4000 , 9600
Chile,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1100 ,1000 , 1200,1300 ,1100 , 1300,1400 ,1200 , 1500,1500 ,1400 , 1600,1700 ,1500 , 1800,1800 ,1600 , 2000,2000 ,1700 , 2100,2100 ,1800 , 2300,2200 ,1900 , 2300,2300 ,2000 , 2500,2400 ,2100 , 2600,2600 ,2200 , 2800,2800 ,2400 , 3000,2800 ,2400 , 3100,3100 ,2600 , 3300,3300 ,2800 , 3600,3500 ,3000 , 3800,3700 ,3100 , 4100,3900 ,3300 , 4300,4200 ,3500 , 4600,4300 ,3500 , 4700,4400 ,3600 , 4800,4600 ,3700 , 5000,4800 ,3900 , 5300,4900 ,4000 , 5400,5000 ,4000 , 5500
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,7800 ,2900 , 47 000,9400 ,4200 , 45 000,11 000 ,5500 , 35 000,12 000 ,6400 , 34 000,13 000 ,8200 , 32 000,13 000 ,9700 , 25 000,14 000 ,9800 , 23 000,14 000 ,10 000 , 21 000,13 000 ,9900 , 21 000,13 000 ,9800 , 19 000,13 000 ,9500 , 17 000,10 000 ,7700 , 13 000,9100 ,7300 , 12 000,8800 ,7000 , 11 000,8600 ,6700 , 11 000,8600 ,6700 , 11 000,8700 ,6700 , 11 000,8100 ,6300 , 10 000,7600 ,5100 , 9600,7700 ,5300 , 9900,8800 ,6400 , 11 000,8800 ,6300 , 11 000,8500 ,6100 , 11 000,8400 ,6000 , 11 000,8200 ,5800 , 11 000,7900 ,5600 , 10 000,7600 ,5200 , 10 000,7300 ,5000 , 9800,6900 ,4700 , 9100
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Congo,11 000 ,8600 , 15 000,10 000 ,7900 , 14 000,11 000 ,8100 , 15 000,8700 ,6500 , 12 000,8400 ,6500 , 11 000,7600 ,5900 , 9900,7300 ,5700 , 9200,6800 ,5400 , 8500,6700 ,5300 , 8100,7000 ,5700 , 8300,6600 ,5300 , 7700,6400 ,5300 , 7500,6300 ,5200 , 7300,6100 ,5000 , 7200,5700 ,4600 , 6800,6200 ,5000 , 7500,5800 ,4700 , 7100,5700 ,4400 , 7000,5800 ,4400 , 7300,6200 ,4700 , 7900,5800 ,4200 , 7600,5700 ,4000 , 7700,5700 ,3900 , 7800,5600 ,3600 , 8000,5600 ,3500 , 8200,5600 ,3500 , 8700,5500 ,3300 , 9000,5400 ,3100 , 9500,5300 ,3000 , 9700
Costa Rica,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,1000 ,<1000 , 1200
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Cuba,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1000 ,<1000 , 1300,1200 ,<1000 , 1400,1300 ,<1000 , 1600,1400 ,1100 , 1800,1600 ,1200 , 2000,1800 ,1300 , 2200,1900 ,1500 , 2400,2100 ,1600 , 2600,2200 ,1700 , 2700,2300 ,1800 , 2800,2300 ,1800 , 2900,2300 ,1800 , 2900,2300 ,1700 , 2800,2200 ,1700 , 2700,2100 ,1600 , 2500,1900 ,1400 , 2300,1700 ,1300 , 2100
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000
Côte d'Ivoire,69 000 ,37 000 , 130 000,75 000 ,40 000 , 140 000,77 000 ,42 000 , 140 000,76 000 ,41 000 , 140 000,72 000 ,39 000 , 130 000,67 000 ,36 000 , 130 000,63 000 ,34 000 , 120 000,59 000 ,32 000 , 110 000,55 000 ,29 000 , 100 000,51 000 ,27 000 , 95 000,48 000 ,26 000 , 89 000,44 000 ,24 000 , 83 000,41 000 ,22 000 , 77 000,39 000 ,21 000 , 73 000,36 000 ,19 000 , 68 000,34 000 ,18 000 , 63 000,32 000 ,17 000 , 60 000,30 000 ,16 000 , 56 000,28 000 ,15 000 , 53 000,26 000 ,14 000 , 48 000,25 000 ,14 000 , 47 000,25 000 ,13 000 , 47 000,24 000 ,13 000 , 45 000,23 000 ,12 000 , 43 000,22 000 ,12 000 , 42 000,21 000 ,11 000 , 40 000,19 000 ,10 000 , 36 000,18 000 ,9700 , 34 000,17 000 ,9100 , 32 000
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,59 000 ,49 000 , 69 000,61 000 ,50 000 , 71 000,61 000 ,50 000 , 72 000,62 000 ,49 000 , 72 000,60 000 ,48 000 , 72 000,58 000 ,47 000 , 68 000,57 000 ,46 000 , 67 000,55 000 ,46 000 , 64 000,52 000 ,44 000 , 61 000,51 000 ,42 000 , 59 000,48 000 ,39 000 , 56 000,46 000 ,38 000 , 53 000,44 000 ,37 000 , 52 000,42 000 ,35 000 , 50 000,41 000 ,33 000 , 48 000,39 000 ,31 000 , 46 000,37 000 ,31 000 , 44 000,36 000 ,29 000 , 43 000,34 000 ,27 000 , 41 000,33 000 ,26 000 , 40 000,31 000 ,24 000 , 37 000,29 000 ,22 000 , 36 000,28 000 ,21 000 , 34 000,26 000 ,19 000 , 32 000,24 000 ,18 000 , 31 000,22 000 ,16 000 , 29 000,21 000 ,15 000 , 28 000,20 000 ,14 000 , 27 000,19 000 ,13 000 , 26 000
Denmark,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200
Djibouti,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<1000 , 1600,1100 ,<1000 , 1800,1300 ,<1000 , 1900,1500 ,1100 , 1900,1500 ,1200 , 1900,1500 ,1200 , 1900,1400 ,1100 , 1800,1300 ,<1000 , 1600,1100 ,<1000 , 1400,<1000 ,<1000 , 1200,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Dominica,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Dominican Republic,8300 ,5600 , 12 000,8500 ,5800 , 12 000,9200 ,6100 , 13 000,10 000 ,6600 , 15 000,10 000 ,6500 , 16 000,10 000 ,7000 , 16 000,10 000 ,6800 , 15 000,9400 ,6500 , 14 000,9300 ,6600 , 13 000,8300 ,6200 , 11 000,7800 ,5900 , 11 000,6800 ,5300 , 9000,6000 ,4600 , 7700,5400 ,4100 , 7000,4700 ,3700 , 6300,5000 ,3800 , 6600,4000 ,3000 , 5400,3700 ,2800 , 5000,3500 ,2600 , 4800,3300 ,2400 , 4700,3200 ,2200 , 4400,3000 ,2000 , 4200,3000 ,2000 , 4200,2900 ,1900 , 4200,2900 ,1800 , 4300,2900 ,1700 , 4600,2800 ,1600 , 5200,2800 ,1500 , 5800,2700 ,1200 , 6500
Ecuador,2300 ,<1000 , 6100,2400 ,<1000 , 6800,2400 ,<1000 , 6700,2500 ,1100 , 6000,2500 ,1200 , 5500,2600 ,1300 , 4900,2700 ,1400 , 4900,2700 ,1500 , 4800,2800 ,1600 , 5100,2900 ,1800 , 5300,2700 ,1700 , 4900,2300 ,1400 , 4100,2500 ,1600 , 4400,2400 ,1500 , 4300,2600 ,1600 , 4800,2600 ,1600 , 4600,2700 ,1600 , 4800,2600 ,1500 , 4500,2600 ,1500 , 4600,2500 ,1500 , 4500,2500 ,1400 , 4600,2500 ,1400 , 4600,2400 ,1400 , 4600,2400 ,1300 , 4600,2500 ,1300 , 4600,2400 ,1300 , 4500,2400 ,1300 , 4500,2300 ,1200 , 4500,2200 ,1200 , 4400
Egypt,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1100 ,<1000 , 1100,1200 ,1100 , 1300,1400 ,1300 , 1500,1600 ,1500 , 1700,1800 ,1700 , 2000,2100 ,1900 , 2300,2400 ,2200 , 2600,2700 ,2500 , 3000,3100 ,2900 , 3400,3600 ,3300 , 3900
El Salvador,1100 ,<1000 , 1300,1300 ,<1000 , 1600,1500 ,1100 , 1900,1700 ,1300 , 2200,1900 ,1500 , 2400,2100 ,1600 , 2700,2300 ,1700 , 2800,2400 ,1800 , 3000,2500 ,1800 , 3100,2500 ,1900 , 3100,2500 ,1900 , 3100,2500 ,1900 , 3100,2400 ,1800 , 3000,2300 ,1700 , 2800,2100 ,1600 , 2700,2000 ,1500 , 2500,1900 ,1400 , 2300,1700 ,1300 , 2200,1600 ,1200 , 2000,1500 ,1100 , 1800,1400 ,1000 , 1700,1200 ,<1000 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Equatorial Guinea,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,<1000 ,<1000 , 1500,1100 ,<1000 , 1700,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1600 ,1100 , 2300,1800 ,1300 , 2500,2000 ,1400 , 2700,2100 ,1600 , 2800,2200 ,1700 , 2900,2400 ,1900 , 3200,2500 ,2000 , 3200,2800 ,2200 , 3400,2800 ,2300 , 3500,3100 ,2400 , 3800,3300 ,2600 , 4000,3500 ,2800 , 4300,3600 ,2900 , 4500,3900 ,3100 , 5000,4200 ,3300 , 5400,4500 ,3400 , 5700,4500 ,3300 , 6000,4500 ,3100 , 6300,4700 ,3300 , 6800,4900 ,3200 , 7100,5100 ,3200 , 7600,5100 ,3100 , 8000
Eritrea,2400 ,1100 , 4000,2600 ,1500 , 4100,2600 ,1600 , 3800,2400 ,1600 , 3500,2200 ,1500 , 3100,1900 ,1200 , 2700,1600 ,1100 , 2300,1500 ,1000 , 2100,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000
Estonia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <200,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<1000 , 1000,1600 ,1400 , 1800,1800 ,1500 , 2000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Eswatini,2300 ,1800 , 2900,4500 ,3600 , 5800,7700 ,6100 , 9500,11 000 ,9200 , 14 000,14 000 ,12 000 , 16 000,16 000 ,14 000 , 18 000,16 000 ,14 000 , 18 000,16 000 ,14 000 , 17 000,15 000 ,14 000 , 16 000,14 000 ,13 000 , 15 000,14 000 ,13 000 , 15 000,13 000 ,13 000 , 14 000,13 000 ,12 000 , 14 000,13 000 ,12 000 , 13 000,12 000 ,12 000 , 13 000,12 000 ,12 000 , 13 000,12 000 ,11 000 , 12 000,12 000 ,11 000 , 12 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 12 000,11 000 ,11 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,9800 ,9000 , 11 000,9000 ,8200 , 10 000,8400 ,7500 , 9500,7800 ,6900 , 8900
Ethiopia,100 000 ,60 000 , 180 000,110 000 ,68 000 , 200 000,120 000 ,70 000 , 210 000,110 000 ,65 000 , 190 000,99 000 ,60 000 , 180 000,86 000 ,51 000 , 150 000,76 000 ,46 000 , 130 000,69 000 ,41 000 , 120 000,61 000 ,37 000 , 110 000,57 000 ,34 000 , 100 000,52 000 ,31 000 , 92 000,49 000 ,29 000 , 87 000,45 000 ,27 000 , 80 000,43 000 ,26 000 , 76 000,40 000 ,24 000 , 71 000,38 000 ,23 000 , 67 000,36 000 ,22 000 , 64 000,34 000 ,21 000 , 60 000,32 000 ,19 000 , 56 000,31 000 ,18 000 , 54 000,29 000 ,18 000 , 52 000,28 000 ,17 000 , 50 000,27 000 ,16 000 , 47 000,24 000 ,14 000 , 43 000,24 000 ,15 000 , 43 000,24 000 ,14 000 , 42 000,24 000 ,14 000 , 42 000,23 000 ,14 000 , 42 000,23 000 ,14 000 , 40 000
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500
France,5900 ,5000 , 6900,6100 ,5200 , 7200,6600 ,5600 , 7700,6600 ,5600 , 7800,7000 ,6000 , 8300,7100 ,6100 , 8400,6200 ,5300 , 7300,6500 ,5600 , 7600,5900 ,5100 , 7000,6200 ,5300 , 7300,6500 ,5500 , 7600,6700 ,5700 , 7900,7000 ,5900 , 8300,8100 ,6800 , 9600,7300 ,6100 , 8700,7300 ,6100 , 8800,6300 ,5200 , 7600,6600 ,5400 , 7900,6200 ,5100 , 7400,5800 ,4800 , 7000,5500 ,4500 , 6600,5800 ,4800 , 7000,5800 ,4700 , 7000,6000 ,4900 , 7100,6600 ,5400 , 7900,6500 ,5300 , 7700,6400 ,5200 , 7700,6300 ,5100 , 7600,6200 ,5000 , 7500
Gabon,1400 ,<1000 , 2200,1800 ,1100 , 2700,2200 ,1400 , 3300,2600 ,1700 , 4100,3000 ,1900 , 4500,3400 ,2200 , 4700,3600 ,2400 , 5200,3800 ,2500 , 5400,3800 ,2600 , 5300,3600 ,2500 , 4900,3500 ,2600 , 4700,3400 ,2500 , 4200,3200 ,2500 , 4000,3100 ,2500 , 3800,3100 ,2500 , 3700,2900 ,2300 , 3600,2900 ,2300 , 3600,2900 ,2300 , 3700,2900 ,2200 , 3700,2900 ,2300 , 3800,2900 ,2200 , 3900,2900 ,2100 , 3900,2800 ,2000 , 3900,2700 ,1900 , 3800,2600 ,1800 , 3800,2500 ,1700 , 3900,2300 ,1400 , 3900,2100 ,1300 , 3800,2000 ,1100 , 3900
Gambia,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,1100 ,<1000 , 1500,1400 ,<1000 , 1800,1600 ,1100 , 2000,1800 ,1200 , 2300,1900 ,1400 , 2500,1900 ,1400 , 2500,2000 ,1400 , 2600,1900 ,1400 , 2500,1800 ,1300 , 2400,1800 ,1300 , 2400,1800 ,1300 , 2300,1800 ,1300 , 2400,1800 ,1400 , 2400,1800 ,1400 , 2400,1900 ,1400 , 2500,1800 ,1400 , 2500,1900 ,1400 , 2500,1900 ,1400 , 2500,1900 ,1400 , 2600,2000 ,1500 , 2700,2000 ,1500 , 2800,2100 ,1500 , 2900,2100 ,1500 , 3100,2200 ,1500 , 3200
Georgia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Germany,3600 ,3000 , 4200,3100 ,2600 , 3600,2700 ,2200 , 3100,2100 ,1700 , 2500,2100 ,1700 , 2400,2000 ,1700 , 2400,2000 ,1600 , 2400,2000 ,1700 , 2400,1900 ,1500 , 2200,1700 ,1400 , 2000,1800 ,1500 , 2100,2400 ,1900 , 2800,2800 ,2300 , 3300,3100 ,2600 , 3700,3700 ,3100 , 4400,3900 ,3200 , 4600,4000 ,3300 , 4800,3900 ,3100 , 4600,3300 ,2700 , 4000,3100 ,2500 , 3700,2900 ,2300 , 3500,2800 ,2200 , 3500,2900 ,2300 , 3600,3000 ,2300 , 3700,3000 ,2300 , 3700,2900 ,2200 , 3600,2900 ,2200 , 3500,2700 ,2000 , 3200,2600 ,1900 , 3200
